Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
GREEN METHOD ENGINEERING P.LTD.,"ATC Building, Moolepadam Nagar Road HMT Junction, Kalamassery, HMT Junction, Moolepadam Nagar, South Kalamassery, Kalamassery, Kochi, Kerala 683104, India",Kerala,683104,13750,3400,10295,7000,3900,2500,0,7750,1250,Kanayannur,Ernakulam,10.05754296,76.31917809,0,2563.141734,0,4580.018324,2452.667903,225.3541294
GREEN VALLEY CONDIMENTS,"Aluva - Mala Rd, Ayroor, Attupuram, Kerala 683579, India",Kerala,683579,32590,0,0,11857,6854,17524,30094,109227,45093,Paravur,Ernakulam,10.18044539,76.31635012,0,43153.00996,45410.76382,43511.88651,47091.69437,44762.93608
GREEN WORLD COIR EXPORTS,"1/335, Rose St, Fort Nagar, Fort Kochi, Kochi, Kerala 682001, India",Kerala,682001,1402100,1718000,988000,675330,676000,338000,259000,182000,0,Kochi,Ernakulam,9.961975513,76.24336774,0,2007.864912,0,245.577879,0,0
GREENLEAF EXTRACTIONS PVT LTD,"Plot No: 15, KINFRA HI-TECH Park, Opp Co-operative Medical College, P.O, HMT Colony, North Kalamassery, Kalamassery, Kochi, Kerala 683503, India",Kerala,683503,73243,129849,145582,187943,235841,271274,248924,201267,319738,Kanayannur,Ernakulam,10.05828796,76.33715315,0,315479.1939,317611.5917,314988.4732,320370.0215,315036.6275
HANDICRAFTS DEVE. CORPN. OF KERALA LTD.,"Kerala, India",Kerala,682002,255,107,90,343,450,411,0,0,355,Kochi,Ernakulam,9.957255233,76.25402237,0,863.1063633,120.2617106,660.4840634,486.0627399,157.7161523
HERBAL ISOLATES P. LTD.,"XCVM+QPG, Aikaranad North, Kerala 682310, India",Kerala,682310,1362951,1440981,1693404,1331492,1435757,1467381,1663826,1537188,1815017,Kunnathunad,Ernakulam,9.98790642,76.43015296,0,1811867.061,1817795.895,1812381.019,1814838.986,1806951.014
HOLMARC OPTO-MECHATRONICS PVT LTD,"B.7, HMT Rd, Industrial Estate, P.O, Kalamassery, Kochi, Kerala 683503, India",Kerala,683503,2808,3167,1348,3043,1140,0,3167,2732,2388,Kanayannur,Ernakulam,10.05828796,76.33715315,0,2243.796461,2027.374062,3165.717804,4772.59864,2932.607723
INDIAN MARINE INDUSTRIES,"W779+J78, Nambiapuram Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,6308500,6123040,7013052,9421110,4616990,2889470,3339626,2137854,3617350,Kochi,Ernakulam,9.917652552,76.27326456,0,3617255.8,3617994.203,3617714.016,3616872.765,3616897.399
INFRA ELEVATORS INDIA,"35/2265A, Infra House, BC Lane, Church Rd, Pallinada, Palarivattom, Kochi, Kerala 682025, India",Kerala,682025,13068,4853,4328,3842,215,500,1406,6399,4842,Ernakulam,Ernakulam,10.00037267,76.30783643,0,6581.290726,5439.146675,6628.569394,4840.667044,3909.46534
INNO MOTION TECHNOLOGIES,"XVI/235, Choornikkara, Aluva, Kerala 683106, India",Kerala,683106,63308,56866,7702,16212,62461,87984,52318,96517,83799,Aluva,Ernakulam,10.08034449,76.34267442,0,83414.26454,81667.43213,83821.80956,85563.44581,81253.85998
INTERCON WOOD INDUSTRIES,"Kanjirakkad, Perumbavoor, Kerala 683543, India",Kerala,683543,2887719,1544696,169110,0,0,0,0,481500,159500,Kunnathunad,Ernakulam,10.12285941,76.48358803,0,159327.4696,157841.7152,160753.3244,158766.5602,157924.1659
K.K.R.AGRO MILLS P.LTD.,"10°08'13. 76°27'43.0""E, 3rd Cross Road, Vallom, Ezhattumugham, Chelamattom part, Kerala 683550, India",Kerala,683550,8635429,9888431,9083661,9597018,6839727,6335090,4600863,883185,888760,Kunnathunad,Ernakulam,10.1564586,76.44930727,0,889252.4251,889126.0676,889272.8167,889377.5054,889411.8083
K.K.R.FOOD PRODUCTS,"5F22+6XR, opposite Reliance Petrol Pump, P.O, Okkal, Kalady, Ernakulam, Kerala 683550, India",Kerala,683550,564102,180933,0,69465,12900,0,0,0,0,Kunnathunad,Ernakulam,10.1564586,76.44930727,0,1306.702391,0,0,430.77184,0
KAIRALI GRANITES,"National Highway Bye Pass, Kannadi Kadu Service Rd, Adjacent to Hotel Wyte Fort, Jaya Nagar, Maradu, Kochi, Kerala 682304, India",Kerala,682304,91500,0,0,0,0,0,3512,0,0,Ernakulam,Ernakulam,9.938877707,76.32558968,0,485.5311559,0,0,15.08364754,0
KAISONS RUBBERS,"Kaipattoor, Mekalady, Kalady, Kerala 683574, India",Kerala,683574,2704046,3363651,2995149,2383377,2781048,2310279,3388887,2560743,2956370,Aluva,Ernakulam,10.18281716,76.45845345,0,2954821.508,2955043.099,2952508.169,2952457.928,2955015.518
KALATHIL EXPORTS&IMPORTS,"Door No. 39/1607, Maria Complex, Kannamthottathil Road, Valanjambalam, Eroor Rd, Kappattikavu, Eroor North, Eroor, Kochi, Kerala 682306, India",Kerala,682306,77705,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.968037123,76.33532464,0,559.4115767,0,0,0,498.5421487
