Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
COMET EXPORTS,"J88R+699, Kanjikuzhy, Kanjikkuzhi, Kerala 688525, India",Kerala,688525,668449,390157,305216,362471,268197,228331,320840,229223,217167,Cherthala,Alappuzha,9.619357623,76.35883995,0,222762.2899,219534.072,217034.98,220549.8081,214155.5238
D.C. MILLS,"Valavanadu, Kalavoor P.O., Kanjikuzhy, Ward 1, Alappuzha, Kerala 688522, India",Kerala,688522,327255,206232,105008,50151,29687,43837,0,0,0,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,885.4293689,0,0,0,0
DREAMS EXPORTS,"7G3C+5GX, Thattarambalam, Mavelikara, Kannamangalam North, Kerala 690103, India",Kerala,690103,63634,0,0,20661,0,8240,6425,0,15636,Mavelikkara,Alappuzha,9.250708,76.51850396,0,15454.85363,18893.08082,15058.84193,15021.71584,14593.08702
EASTERN RUG MILLS,"CCSB Rd, Civil Station Ward, Alappuzha, Kerala 688001, India",Kerala,688001,139500,189521,122600,97521,125718,72676,158641,58391,47641,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,45321.90758,48390.66875,47237.0167,46544.38018,49010.83915
FEBIN MARINE FOODS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",Kerala,688537,1025711,1191635,1975858,2177302,1603077,1925676,1713297,1968917,1931880,Cherthala,Alappuzha,9.82172572,76.30522974,0,1926637.643,1937572.903,1935354.757,1932757.709,1936204.074
FIBER WONDERS,"M899+27Q Perumpara Juction, Po, Kuruppan Kulangara, Cherthala, Cherthala South, Kerala 688539, India",Kerala,688539,607660,631654,640570,1145128,1222181,1291428,1088561,940280,1466591,Cherthala,Alappuzha,9.664282889,76.34121378,0,1460520.738,1472008.672,1467450.116,1471548.604,1466359.579
FIBRE WORLD,"S.N.V. Road, Kannadikavala, Aryakara, Muhamma, Kerala 688525, India",Kerala,688525,5319908,5890454,6303410,6034021,7056345,5459040,7295257,8110817,8914568,Cherthala,Alappuzha,9.619357623,76.35883995,0,8911165.985,8911050.843,8909658.471,8910235.032,8911356.21
FOAM MATTINGS INDIA LTD.,"beach, Civil Station Ward, Alappuzha, Kerala 688012, India",Kerala,688012,21414,45613,7571,0,7497,0,8161,0,0,Ambalapuzha,Alappuzha,9.490780479,76.32486257,0,0,0,2787.00095,930.1892584,279.0574628
FOODCO DELICASIES INDIA P.LTD.,"R8MQ+C3G, Cherthala - Arookutty Rd, Panavally, Kerala 688526, India",Kerala,688526,886832,1146108,1041544,449007,116411,0,0,0,177573,Cherthala,Alappuzha,9.806103367,76.35243925,0,179470.6581,178105.957,178026.6273,178185.5752,176722.0502
FRIENDS MARINE INDUSTRIES,"R8C3+Q4R Between konkery bridge and Railway cross, Vattathara, Ezhupunna, Kerala 688537, India",Kerala,688537,356920,325700,421164,368550,250700,160372,621494,733560,511870,Cherthala,Alappuzha,9.82172572,76.30522974,0,512668.4084,514637.0511,511386.0853,516436.0433,511091.9764
G.K.S BUSINESS ASSOCIATES,"GKS COMPLEX, 4/450 , AROOKUTTY FERRY ROAD , AROOR 688534, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,2079372,1709738,1532460,1493552,1720703,4568320,3250417,3518061,2290801,Cherthla,Alappuzha,9.871729377,76.30438504,0,2287742.15,2293553.816,2290427.838,2292260.772,2290486.248
GRAND MARINE FOODS,"II/750A, Industrial Development Area, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,2555566,3384406,4562248,3752211,3049601,2050189,2992720,2872575,2119800,Cherthla,Alappuzha,9.871729377,76.30438504,0,2116746.962,2120835.971,2121280.686,2116937.992,2121780.78
HIC-ABF SPECIAL FOODS P.LTD.,"Project Colony Road, Industrial Development Area, Aroor, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,649689,511180,777811,795113,1079221,537258,416524,865475,1156318,Cherthla,Alappuzha,9.871729377,76.30438504,0,1160567.982,1156059.327,1156465.168,1159926.423,1158229.719
HIGH SEAS EXIM,"National Highway 47, Chandiroor, Kerala 688535, India",Kerala,688535,1912818,1509293,2075214,2523085,1897481,1779017,1269460,1267645,802583,Cherthala,Alappuzha,9.8564922,76.32294532,0,803773.9849,805713.8727,808128.1043,804636.7179,803772.7185
