iter	Passed	Remaining
709	3306	1350
710	3310	1345
711	3314	1340
712	3317	1335
713	3320	1330
714	3325	1325
715	3328	1320
716	3331	1314
717	3334	1309
718	3337	1304
719	3342	1299
720	3345	1294
721	3348	1289
722	3351	1284
723	3356	1279
724	3360	1274
725	3363	1269
726	3365	1263
727	3370	1259
728	3373	1254
729	3376	1248
730	3379	1243
731	3382	1238
732	3387	1234
733	3390	1228
734	3393	1223
735	3396	1218
736	3399	1213
737	3404	1208
738	3407	1203
739	3409	1198
740	3412	1192
741	3418	1188
742	3422	1183
743	3424	1178
744	3427	1173
745	3431	1168
746	3436	1163
747	3439	1158
748	3442	1153
749	3445	1148
750	3451	1144
751	3455	1139
752	3458	1134
753	3462	1129
754	3467	1125
755	3470	1120
756	3473	1115
757	3476	1110
758	3483	1106
759	3487	1101
760	3491	1096
761	3494	1091
762	3500	1087
763	3503	1082
764	3506	1077
765	3509	1072
766	3514	1067
767	3517	1062
768	3520	1057
769	3523	1052
770	3527	1047
771	3531	1043
772	3534	1038
773	3538	1033
774	3541	1028
775	3546	1023
776	3549	1018
777	3552	1013
778	3555	1008
779	3559	1003
780	3562	998
781	3565	994
782	3568	989
783	3571	984
784	3577	979
785	3580	974
786	3583	969
787	3587	965
788	3593	960
789	3596	956
790	3600	951
791	3603	946
792	3609	942
793	3615	938
794	3619	933
795	3626	929
796	3629	924
797	3633	919
798	3638	915
799	3643	910
800	3647	906
801	3650	901
802	3657	897
803	3663	893
804	3667	888
805	3675	884
806	3679	879
807	3683	875
808	3690	871
809	3694	866
810	3698	861
811	3704	857
812	3707	852
813	3711	847
814	3714	843
815	3720	838
816	3723	834
817	3726	829
818	3729	824
819	3735	819
820	3738	815
821	3742	810
822	3745	805
823	3751	801
824	3755	796
825	3758	791
826	3761	786
827	3767	782
828	3770	777
829	3773	772
830	3775	767
831	3780	763
832	3783	758
833	3786	753
834	3789	748
835	3792	743
836	3796	739
837	3799	734
838	3802	729
839	3805	724
840	3808	720
841	3813	715
842	3817	710
843	3820	706
844	3824	701
845	3828	696
846	3832	692
847	3836	687
848	3839	682
849	3845	678
850	3848	673
851	3852	669
852	3855	664
853	3861	660
854	3864	655
855	3868	650
856	3873	646
857	3878	641
858	3881	637
859	3884	632
860	3887	627
861	3892	623
862	3895	618
863	3898	613
864	3901	608
865	3906	604
866	3909	599
867	3912	595
868	3915	590
869	3918	585
870	3924	581
871	3929	576
872	3932	572
873	3938	567
874	3942	563
875	3945	558
876	3949	553
877	3954	549
878	3958	544
879	3962	540
880	3965	535
881	3971	531
882	3975	526
883	3979	522
884	3985	517
885	3991	513
886	3996	509
887	4002	504
888	4006	500
889	4011	495
890	4017	491
891	4022	487
892	4025	482
893	4033	478
894	4038	473
895	4045	469
896	4050	465
897	4070	462
898	4076	457
899	4084	453
900	4089	449
901	4096	445
902	4102	440
903	4106	436
904	4116	432
905	4120	427
906	4125	423
907	4133	418
908	4138	414
909	4146	410
910	4152	405
911	4164	401
912	4169	397
913	4177	393
914	4182	388
915	4186	383
916	4192	379
917	4196	374
918	4198	370
919	4202	365
920	4208	360
921	4211	356
922	4214	351
923	4218	346
924	4224	342
925	4227	337
926	4231	333
927	4235	328
928	4245	324
929	4249	319
930	4259	315
931	4266	311
932	4314	309
933	4321	305
934	4325	300
935	4335	296
936	4340	291
937	4343	287
938	4346	282
939	4352	277
940	4355	273
941	4358	268
942	4361	263
943	4365	258
944	4369	254
945	4372	249
946	4374	244
947	4377	240
948	4382	235
949	4385	230
950	4388	226
951	4391	221
952	4395	216
953	4400	212
954	4403	207
955	4406	202
956	4410	198
957	4414	193
958	4417	188
959	4420	184
960	4423	179
961	4428	174
962	4433	170
963	4436	165
964	4440	161
965	4445	156
966	4449	151
967	4452	147
968	4456	142
969	4460	137
970	4465	133
971	4469	128
972	4473	124
973	4478	119
974	4482	114
975	4484	110
976	4488	105
977	4492	101
978	4496	96
979	4499	91
980	4502	87
981	4505	82
982	4509	77
983	4513	73
984	4515	68
985	4518	64
986	4522	59
987	4526	54
988	4530	50
989	4533	45
990	4535	41
991	4540	36
992	4544	32
993	4547	27
994	4550	22
995	4554	18
996	4558	13
997	4562	9
998	4565	4
999	4568	0
