Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
FOODCO DELICASIES INDIA P.LTD.,"R8MQ+C3G, Cherthala - Arookutty Rd, Panavally, Kerala 688526, India",Kerala,688526,886832,1146108,1041544,449007,116411,0,0,0,177573,Cherthala,Alappuzha,9.806103367,76.35243925,0,178191.68,178361.37,178279.62,178157.08,178520.28
FRIENDS MARINE INDUSTRIES,"R8C3+Q4R Between konkery bridge and Railway cross, Vattathara, Ezhupunna, Kerala 688537, India",Kerala,688537,356920,325700,421164,368550,250700,160372,621494,733560,511870,Cherthala,Alappuzha,9.82172572,76.30522974,0,511626.19,511636.88,511688.39,511687.35,511311.4
G.K.S BUSINESS ASSOCIATES,"GKS COMPLEX, 4/450 , AROOKUTTY FERRY ROAD , AROOR 688534, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,2079372,1709738,1532460,1493552,1720703,4568320,3250417,3518061,2290801,Cherthla,Alappuzha,9.871729377,76.30438504,0,2311398.45,2312832.17,2313582.57,2302744.2,2306366.39
GRAND MARINE FOODS,"II/750A, Industrial Development Area, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,2555566,3384406,4562248,3752211,3049601,2050189,2992720,2872575,2119800,Cherthla,Alappuzha,9.871729377,76.30438504,0,2125099.49,2120642.66,2118381.73,2119747.59,2120205.32
HIC-ABF SPECIAL FOODS P.LTD.,"Project Colony Road, Industrial Development Area, Aroor, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,649689,511180,777811,795113,1079221,537258,416524,865475,1156318,Cherthla,Alappuzha,9.871729377,76.30438504,0,1155601.28,1153566.58,1155469.02,1156252.18,1155280.81
HIGH SEAS EXIM,"National Highway 47, Chandiroor, Kerala 688535, India",Kerala,688535,1912818,1509293,2075214,2523085,1897481,1779017,1269460,1267645,802583,Cherthala,Alappuzha,9.8564922,76.32294532,0,801863.41,803091.87,802158.89,803075.42,803119.7
INTEGRATED RUBIAN EXPORTS LTD.,"V8P2+375, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,554490,93270,21934,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,0,0,0,0,0
J.B.C. INTERNATIONAL,"SN Junction , Kayal Road Muhamma, J988+P9V, Post, Aryakara, Alappuzha, Muhamma, Kerala 688525, India",Kerala,688525,147911,217221,223286,411215,603350,563298,692253,1006174,998514,Cherthala,Alappuzha,9.619357623,76.35883995,0,995463.84,997202.55,998436.36,997567.42,998133.28
JANATHA POLYMERS,"6HWM+972, Kochalummoodu, Vettiyar, Mavelikara, Kerala 690108, India",Kerala,690108,34655,2050,51549,18,315,367,47112,48237,2850,Mavelikkara,Alappuzha,9.249809575,76.57720714,0,2842.96,2846.48,2841.85,2842.35,2846.06
JANSONS BALERS,"F8PQ+R47, Municipal Stadium Ward, Vellakkinar, Alappuzha, Kerala 688011, India",Kerala,688011,1823229,1616034,1505947,1353415,1006784,1035027,1139326,1202181,1163916,Ambalapuzha,Alappuzha,9.494271705,76.34375953,0,1164849.52,1165159.94,1164775.53,1166277.02,1164803.66
