Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
CHRIS MOTORS,12831.0,45574.0,103024.0,167968.0,137330.0,125069.0,125365.0,75394.0,35550.0,35147.59650564539,138698.3480391649,76169.82992483575,13095.745222793088,35242.61165745221
CHRIST MARKETING,74420.0,250090.0,55628.0,118092.0,59783.0,2250.0,20721.0,15986.0,12214.0,12065.48281420344,58832.58217404719,15961.413862625674,75485.07543303075,12379.806588674004
CLASSIC FLOOR FURNISHINGS,87105.0,145571.0,81140.0,33990.0,61955.0,70580.0,11040.0,5600.0,11620.0,11073.480411257764,63134.68483427981,6098.010461983028,88375.38819135548,11838.417747245816
CLASSIC PAINT ROLLERS & ALLIED PRODUCTS,20965.0,14621.0,8531.0,6742.0,6204.0,4810.0,8722.0,20221.0,3500.0,4747.577009178757,6168.717893381799,20112.18628728285,20536.346978142272,3744.4148996421304
CLASSIC SOLVENTS P. LTD.,172298.0,230274.0,351881.0,197024.0,436934.0,827358.0,557525.0,607974.0,636568.0,722427.8199291931,435917.4370705011,617371.0476472491,173590.924637499,642600.7257916846
CLASSY THE ANTIQUE DESIGNED FURNITURE,241658.0,222509.0,268069.0,268794.0,276455.0,124639.0,261482.0,193622.0,150654.0,152872.51388358258,279312.49351254234,196008.59221463368,238442.7639425851,154297.59037011812
COCHIN MINERALS & RUTILE LTD.,43150709.0,23175991.0,3687080.0,28609231.0,50525810.0,48630430.0,45604050.0,35675342.0,10680765.0,121387988.89327767,63338638.65342152,52978937.670644194,63125197.45220549,40150290.38688814
COCHIN RUBBERS,349594.0,224531.0,412383.0,939736.0,788029.0,167002.0,270485.0,1003415.0,425859.0,423651.5957938274,797651.3784957709,986567.778176268,347298.5667077523,419156.1008276553
COCHIN SHIPYARD LTD.,19161618.0,21548811.0,6919396.0,2518765.0,14765725.0,3180654.0,1357177.0,618995.0,2031726.0,39125007.19454973,47421897.98236411,29659198.78436724,71207866.96520923,34247669.6281554
COCHIN TRADERS,699790.0,960980.0,526653.0,931950.0,1219275.0,620100.0,1240200.0,286200.0,620100.0,514690.4610858101,1259569.3626760507,288092.24833826354,689070.0338133252,602571.109963586
COCO FIBRE TEX,26114.0,64548.0,65733.0,61440.0,72120.0,89560.0,22290.0,44850.0,84985.0,87307.4853333331,72522.55027079576,45321.06342068062,25989.315250879823,86320.92699194972
COCO LATEX EXPORTS P. LTD.,667758.0,189432.0,8960.0,59763.0,135570.0,75186.0,34488.0,140820.0,25280.0,25477.90342360716,134743.85202322717,140430.4913975796,667718.1564469893,25876.851896339693
CORZA INTERNATIONAL,59810.0,188922.0,268614.0,299810.0,267597.0,323085.0,371565.0,438445.0,247825.0,252551.9892893921,262172.419187026,443617.5761439708,61326.39014993548,254234.0280491806
CRAFTEMAN AUTOMATION P. LTD.,97056.0,97056.0,92296.0,421302.0,477284.0,932385.0,1873128.0,1475117.0,552194.0,766169.3510694265,466883.1832737575,1464098.5809246278,121072.7474168716,497076.7979341431
CROSSING INTERNATIONAL DISTRIBUTION,39998.0,51732.0,44793.0,87148.0,77577.0,47354.0,30463.0,169651.0,76904.0,76102.3580770319,76657.32855585762,171218.97829793827,39293.26689020037,76559.21227414875
CROWN MARKETING,39430.0,47426.0,50629.0,46346.0,45140.0,44123.0,20400.0,32470.0,7960.0,8726.774706897084,45932.34591020676,31989.639728714526,39276.77232880383,8109.963299614611
CURATECH,540256.0,845500.0,969200.0,2144467.0,1541755.0,1329942.0,1754342.0,1845705.0,1746205.0,1878014.3184728285,1541574.4792755083,1822308.932613259,554218.5672871755,1702285.8321494646
DELTA PLYWOODS  & BOARDS,718004.0,1217173.0,442873.0,189175.0,13040.0,75859.0,13928.0,83707.0,40887.0,27136.378900338976,17520.606971157995,89163.80603820985,718392.3646907321,39037.67374327632
DESAI AGENCIES,658985.0,990533.0,765561.0,1330006.0,3556438.0,1460569.0,741815.0,1735259.0,2544567.0,2225619.868668817,3241110.594675174,1732408.8621281986,485426.3040578847,2581145.331732558
DHANYA IMPEX ,34840.0,21538.0,15620.0,19183.0,129976.0,50614.0,51470.0,60713.0,85814.0,87307.4853333331,131265.08549029447,60345.26431473414,34814.357650792044,86320.92699194972
DIAMOND PLYWOODS,392212.0,350856.0,690269.0,672551.0,407333.0,324678.0,380418.0,566971.0,613632.0,596832.491966336,406641.1123609452,578766.0270631553,391027.22604908,603865.380271079
DOBERSUN PRODUCTS P. LTD.,118692.0,87536.0,135455.0,65617.0,179023.0,157630.0,309922.0,363331.0,91409.0,90170.67845632072,175320.2934260374,363753.3895974667,117066.51447440684,91490.64590450407
DUROCAP ROOFING INDIA P. LTD.,130600.0,1037203.0,1195780.0,1515586.0,1589095.0,781337.0,1201325.0,829077.0,266710.0,433158.5973172509,1542629.0947936554,850199.0317682312,115218.6805172085,268335.2902062245
DYNAMIC TECHNO MEDICALS P. LTD.,42911.0,38085.0,63312.0,50164.0,118380.0,72948.0,53056.0,76183.0,154761.0,152153.32504796094,118911.08141752878,75978.55476302134,41989.68257414846,152665.59585398532
EC MALL,20003.0,10330.0,11500.0,14600.0,187260.0,23260.0,12125.0,7180.0,24180.0,23398.220161215548,181738.04272673168,7367.430389184802,19586.20612887863,24094.108104040908
ECO TRADING COMPANY,918388.0,479730.0,383000.0,801880.0,1045018.0,500545.0,811511.0,982729.0,2180900.0,3188341.01677344,1082847.3590258094,765335.5529513239,785562.4456165812,2082168.4441980207
ECOWOOD EXPORTS (P) LTD.,116591.0,170664.0,227076.0,221597.0,300042.0,170587.0,277930.0,193347.0,294441.0,296332.9272391872,304565.84410269005,196822.6069927336,116634.02287252995,295738.8950427176
EDGE INTERNATIONAL HK,19803.0,12036.0,66604.0,64023.0,18687.0,28439.0,20950.0,17557.0,9820.0,10777.089490712617,19049.73081622191,17591.951721376226,19586.20612887863,10049.136165001524
ELITE FOODS P. LTD.,49377.0,4410.0,19734.0,21007.0,4018.0,15229.0,28566.0,32324.0,29009.0,29781.44686151493,4134.881334267022,32189.17397063244,50097.06453331449,30358.5613609558
EMIRATES CEMENTS INDIA P. LTD.,3566100.0,6758750.0,7716239.0,6388900.0,10108890.0,11231670.0,12414530.0,11289400.0,11753860.0,0.0,5564967.249666634,5735730.871173609,5774964.946281103,9575030.883484576
ENGINEERED ELASTOMER SOLUTIONS COMPANY,16645.0,48583.0,55920.0,21878.0,35360.0,31880.0,161500.0,128430.0,25200.0,25934.19812336192,35240.49603281168,127823.95255092227,17393.394183810065,25574.797402475808
EVEREST INDUSTRIES LTD.,9938567.0,11431746.0,10338232.0,14899696.0,13197454.0,8988379.0,8397402.0,8508231.0,4158524.0,0.0,8719602.363007741,8300110.682708558,8720677.392465081,2691086.011017173
EVEREST PLYWOOD,52603.0,12258.0,64570.0,33450.0,25977.0,69962.0,95348.0,111369.0,13500.0,13398.31631033769,26535.777169719924,110366.03963400294,52294.27558547541,14557.946201645314
