Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
ATLANTIC CARE CHEMICALS,170757.0,282490.0,267142.0,335797.0,192203.0,79250.0,101477.0,108432.0,162648.0,162648.00000000015,162648.0000000003,79250.00000000007,192202.9999999992,192202.9999999989
AVT MCCORMICK INGREDIENTS LTD.,2672727.0,3336454.0,3489038.0,2954486.0,4619077.0,3358235.0,2497297.0,2926954.0,1027582.0,1027582.000000004,1027582.0000000058,3358235.000000004,4619077.000000001,4619077.000000004
AVT NATURAL PRODUCTS LTD.,1933739.0,2549589.0,3153779.0,2757507.0,2406082.0,2467548.0,2075734.0,2320315.0,1317189.0,1317189.0000000005,1317189.0000000005,2467547.999999997,2406082.0000000014,2406082.000000001
BABIN TECHNOLOGIES P. LTD.,158415.0,102889.0,111907.0,102303.0,99527.0,58051.0,50155.0,52814.0,97699.0,97699.00000000023,97699.00000000032,58051.00000000005,99526.99999999904,99526.99999999892
BALAJI ENTERPRISES,2177016.0,2055874.0,1579115.0,1440273.0,919673.0,1105427.0,1159757.0,890164.0,621755.0,621754.9999999999,621754.9999999994,1105426.9999999995,919673.0000000002,919672.9999999998
BASF INDIA LTD.,361675.0,241879.0,45812.0,6295.0,38941.0,63859.0,150871.0,21044.0,207021.0,207021.00000000023,207021.0000000001,63859.00000000032,38940.99999999916,38940.99999999901
BATHX BATHWARE INDIA PVT.LTD,794382.0,860758.0,1179771.0,964276.0,844645.0,575040.0,331160.0,288865.0,176640.0,176640.0000000008,176640.0000000011,575040.0,844644.9999999995,844644.9999999998
BENNETT COLEMAN & CO. LTD.,2263130.0,3959835.0,3674588.0,5206900.0,4475446.0,3274299.0,1200950.0,685417.0,862340.0,862340.0000000021,862340.000000005,3274299.000000005,4475446.000000002,4475446.000000003
BEST AGENCIES,99430.0,124304.0,117530.0,89870.0,125210.0,27404.0,79850.0,76670.0,176230.0,176230.00000000035,176230.00000000044,27404.000000000204,125209.9999999991,125209.99999999898
BETA HEALTHCARE PRODUCTS P. LTD.,472868.0,134222.0,222131.0,105354.0,592793.0,491148.0,612855.0,320233.0,358439.0,358439.0000000008,358439.00000000093,491148.0000000009,592792.9999999992,592792.9999999998
BHARAT PETROLEIUM CORPN. (KOCHI REFINERY),11890479.0,5510722.0,4231604.0,1146338.0,3903839.0,2005432.0,893467.0,2364953.0,2363885.0,2363885.000000003,2363885.000000002,2005432.000000012,3903839.000000001,3903839.0000000084
BHOOPATHY STEELS (P) LTD.,1301940.0,1802209.0,2023930.0,2631620.0,2180552.0,1383665.0,1083605.0,1344140.0,131180.0,131180.0000000005,131180.00000000148,1383665.000000001,2180552.0,2180552.000000001
BLASTLINE INDIA P. LTD.,12420.0,6250.0,49945.0,29570.0,44501.0,22314.0,39668.0,72961.0,24205.0,24205.00000000024,24205.00000000035,22313.999999999825,44500.99999999897,44500.999999998814
BODY GEAR INTERNATIONAL P. LTD.,140353.0,147313.0,127190.0,92812.0,112409.0,89421.0,242159.0,311865.0,409751.0,409751.0000000001,409751.0,89420.99999999985,112408.99999999924,112408.99999999891
BOS NATURAL FLAVOURS P. LTD.,243589.0,410599.0,270544.0,144066.0,125625.0,411724.0,317004.0,297530.0,258503.0,258503.0000000001,258503.0000000001,411723.9999999991,125624.99999999942,125624.99999999891
BPL MEDICAL  TECHNOLOGIES P. LTD.,148219.0,167686.0,157219.0,44371.0,117101.0,106457.0,34310.0,14192.0,14650.0,14650.000000000487,14650.000000000642,106457.0,117100.99999999904,117100.99999999901
BTC TRADING COMPANY,1831809.0,3389832.0,2963460.0,1833292.0,3136506.0,1509399.0,1714079.0,1507190.0,1553000.0,1553000.0000000051,1553000.0000000058,1509399.0000000051,3136506.0000000014,3136506.000000003
C.M.L. BIOTECH P. LTD.,1705.0,6946.0,75084.0,27730.0,11878.0,41873.0,6608.0,3601.0,24316.0,24316.00000000024,24316.000000000346,41872.99999999965,11877.999999999009,11877.999999998787
CAR CARE ACCESSORIES,2300.0,12250.0,13300.0,16100.0,14477.0,6338.0,10144.0,9680.0,9631.0,9631.00000000024,9631.000000000358,6337.999999999897,14476.999999998963,14476.999999998789
CARBORUNDUM UNIVERSAL LTD.,7572133.0,7623562.0,8432113.0,12531274.0,27235273.0,27916830.0,22285324.0,41897972.0,51912802.0,51912801.99999999,51912801.99999999,27916830.000000007,27235273.00000004,27235273.000000034
CARNEX TIMBERS PVT LTD,248730.0,167720.0,56209.0,374466.0,303264.0,335950.0,1168779.0,496980.0,469968.0,469967.9999999998,469967.9999999995,335950.00000000006,303263.9999999993,303263.99999999884
CEETRON TECHNOLOGIES,23973.0,28463.0,22100.0,22576.0,34940.0,18331.0,18505.0,6000.0,11847.0,11847.000000000276,11847.000000000404,18330.999999999967,34939.99999999897,34939.99999999883
CEYENAR CHEMICALS P. LTD.,1805645.0,3008787.0,4305336.0,4950247.0,7401859.0,5708601.0,4830959.0,6067816.0,6307558.0,6307558.000000002,6307558.000000004,5708601.000000005,7401859.000000004,7401859.000000006
CHOICE TRADING CORPORATION LTD.,20280.0,87504.0,185270.0,193761.0,410874.0,515373.0,270624.0,387384.0,179907.0,179907.00000000032,179907.00000000067,515372.99999999953,410873.9999999992,410873.9999999992
CHRIS MOTORS,12831.0,45574.0,103024.0,167968.0,137330.0,125069.0,125365.0,75394.0,35550.0,35550.000000000204,35550.00000000037,125068.99999999984,137329.99999999904,137329.99999999884
CHRIST MARKETING,74420.0,250090.0,55628.0,118092.0,59783.0,2250.0,20721.0,15986.0,12214.0,12214.000000000322,12214.000000000471,2250.00000000024,59782.99999999903,59782.99999999883
CLASSIC FLOOR FURNISHINGS,87105.0,145571.0,81140.0,33990.0,61955.0,70580.0,11040.0,5600.0,11620.0,11620.000000000377,11620.000000000526,70579.99999999996,61954.99999999903,61954.9999999989
CLASSIC PAINT ROLLERS & ALLIED PRODUCTS,20965.0,14621.0,8531.0,6742.0,6204.0,4810.0,8722.0,20221.0,3500.0,3500.000000000222,3500.0000000003315,4809.99999999988,6203.999999998956,6203.999999998785
CLASSIC SOLVENTS P. LTD.,172298.0,230274.0,351881.0,197024.0,436934.0,827358.0,557525.0,607974.0,636568.0,636568.0000000001,636568.0000000001,827357.9999999987,436933.9999999997,436933.9999999993
CLASSY THE ANTIQUE DESIGNED FURNITURE,241658.0,222509.0,268069.0,268794.0,276455.0,124639.0,261482.0,193622.0,150654.0,150654.00000000035,150654.00000000044,124639.00000000023,276454.9999999991,276454.99999999907
COCHIN MINERALS & RUTILE LTD.,43150709.0,23175991.0,3687080.0,28609231.0,50525810.0,48630430.0,45604050.0,35675342.0,10680765.0,10680764.999999998,10680765.000000017,48630430.00000009,50525810.000000015,50525810.00000006
COCHIN RUBBERS,349594.0,224531.0,412383.0,939736.0,788029.0,167002.0,270485.0,1003415.0,425859.0,425858.9999999995,425858.9999999998,167002.00000000093,788028.9999999992,788028.9999999993
COCHIN SHIPYARD LTD.,19161618.0,21548811.0,6919396.0,2518765.0,14765725.0,3180654.0,1357177.0,618995.0,2031726.0,2031726.0000000333,2031726.0000000407,3180654.0000000712,14765725.000000002,14765725.00000003
COCHIN TRADERS,699790.0,960980.0,526653.0,931950.0,1219275.0,620100.0,1240200.0,286200.0,620100.0,620100.0000000013,620100.0000000016,620100.0000000033,1219274.9999999995,1219275.0000000002
COCO FIBRE TEX,26114.0,64548.0,65733.0,61440.0,72120.0,89560.0,22290.0,44850.0,84985.0,84985.00000000025,84985.0000000004,89559.99999999984,72119.99999999907,72119.99999999886
COCO LATEX EXPORTS P. LTD.,667758.0,189432.0,8960.0,59763.0,135570.0,75186.0,34488.0,140820.0,25280.0,25280.00000000001,25280.00000000008,75186.0000000007,135569.99999999892,135569.99999999916
CORZA INTERNATIONAL,59810.0,188922.0,268614.0,299810.0,267597.0,323085.0,371565.0,438445.0,247825.0,247825.0000000001,247825.0000000001,323084.9999999993,267596.99999999924,267596.9999999989
CRAFTEMAN AUTOMATION P. LTD.,97056.0,97056.0,92296.0,421302.0,477284.0,932385.0,1873128.0,1475117.0,552194.0,552193.9999999992,552193.9999999986,932384.999999998,477283.9999999994,477283.9999999986
CROSSING INTERNATIONAL DISTRIBUTION,39998.0,51732.0,44793.0,87148.0,77577.0,47354.0,30463.0,169651.0,76904.0,76904.0000000001,76904.00000000023,47353.99999999987,77576.99999999901,77576.99999999882
CROWN MARKETING,39430.0,47426.0,50629.0,46346.0,45140.0,44123.0,20400.0,32470.0,7960.0,7960.000000000246,7960.000000000378,44122.99999999987,45139.99999999898,45139.99999999882
CURATECH,540256.0,845500.0,969200.0,2144467.0,1541755.0,1329942.0,1754342.0,1845705.0,1746205.0,1746204.9999999984,1746204.9999999984,1329942.0,1541755.0000000005,1541754.9999999993
DELTA PLYWOODS  & BOARDS,718004.0,1217173.0,442873.0,189175.0,13040.0,75859.0,13928.0,83707.0,40887.0,40887.00000000069,40887.00000000063,75859.00000000019,13039.999999999449,13039.999999999038
DESAI AGENCIES,658985.0,990533.0,765561.0,1330006.0,3556438.0,1460569.0,741815.0,1735259.0,2544567.0,2544567.000000003,2544567.0000000047,1460569.0000000098,3556438.0000000005,3556438.0000000037
DHANYA IMPEX ,34840.0,21538.0,15620.0,19183.0,129976.0,50614.0,51470.0,60713.0,85814.0,85814.00000000038,85814.00000000055,50614.00000000028,129975.999999999,129975.99999999898
DIAMOND PLYWOODS,392212.0,350856.0,690269.0,672551.0,407333.0,324678.0,380418.0,566971.0,613632.0,613631.9999999997,613631.9999999995,324677.99999999907,407332.9999999996,407332.99999999907
DOBERSUN PRODUCTS P. LTD.,118692.0,87536.0,135455.0,65617.0,179023.0,157630.0,309922.0,363331.0,91409.0,91409.00000000028,91409.0000000003,157629.99999999965,179022.999999999,179022.99999999895
DUROCAP ROOFING INDIA P. LTD.,130600.0,1037203.0,1195780.0,1515586.0,1589095.0,781337.0,1201325.0,829077.0,266710.0,266710.0000000015,266710.0000000022,781337.0000000017,1589094.9999999995,1589095.0
DYNAMIC TECHNO MEDICALS P. LTD.,42911.0,38085.0,63312.0,50164.0,118380.0,72948.0,53056.0,76183.0,154761.0,154761.0000000003,154761.0000000004,72948.00000000009,118379.99999999908,118379.99999999895
EC MALL,20003.0,10330.0,11500.0,14600.0,187260.0,23260.0,12125.0,7180.0,24180.0,24180.00000000056,24180.000000000822,23260.000000000626,187259.9999999989,187259.99999999907
ECO TRADING COMPANY,918388.0,479730.0,383000.0,801880.0,1045018.0,500545.0,811511.0,982729.0,2180900.0,2180899.999999999,2180899.999999999,500545.0000000026,1045018.0000000003,1045018.0000000002
ECOWOOD EXPORTS (P) LTD.,116591.0,170664.0,227076.0,221597.0,300042.0,170587.0,277930.0,193347.0,294441.0,294441.0000000004,294441.0000000005,170587.00000000026,300041.99999999924,300041.99999999907
EDGE INTERNATIONAL HK,19803.0,12036.0,66604.0,64023.0,18687.0,28439.0,20950.0,17557.0,9820.0,9820.000000000178,9820.00000000028,28438.99999999972,18686.999999998985,18686.999999998763
ELITE FOODS P. LTD.,49377.0,4410.0,19734.0,21007.0,4018.0,15229.0,28566.0,32324.0,29009.0,29009.00000000016,29009.00000000024,15228.999999999816,4017.999999998976,4017.9999999987813
EMIRATES CEMENTS INDIA P. LTD.,3566100.0,6758750.0,7716239.0,6388900.0,10108890.0,11231670.0,12414530.0,11289400.0,11753860.0,11753860.000000002,11753860.000000002,11231669.999999994,10108890.00000001,10108890.00000001
ENGINEERED ELASTOMER SOLUTIONS COMPANY,16645.0,48583.0,55920.0,21878.0,35360.0,31880.0,161500.0,128430.0,25200.0,25200.000000000266,25200.00000000029,31879.99999999973,35359.99999999898,35359.99999999878
EVEREST INDUSTRIES LTD.,9938567.0,11431746.0,10338232.0,14899696.0,13197454.0,8988379.0,8397402.0,8508231.0,4158524.0,4158524.0,4158524.000000004,8988379.000000013,13197454.000000006,13197454.000000011
EVEREST PLYWOOD,52603.0,12258.0,64570.0,33450.0,25977.0,69962.0,95348.0,111369.0,13500.0,13500.000000000156,13500.000000000216,69961.99999999958,25976.999999998978,25976.99999999877
EXCEL INTERNATIONAL,8432.0,39858.0,20349.0,51300.0,131045.0,32580.0,4345.0,19048.0,9688.0,9688.000000000406,9688.000000000637,32580.000000000327,131044.99999999894,131044.99999999894
EXTRA WEAVE P. LTD.,375765.0,590874.0,218452.0,1044628.0,1175295.0,1734544.0,3054393.0,1987410.0,1883504.0,1883503.9999999988,1883503.999999998,1734543.999999999,1175295.0000000005,1175294.9999999993
FABA AGENCIES,188154.0,876058.0,622377.0,763004.0,766115.0,967867.0,1339770.0,963608.0,760334.0,760334.0000000003,760334.0000000002,967866.9999999992,766114.9999999998,766114.9999999991
FACT LTD.,528438293.0,500495619.0,386397832.0,476809302.0,561628719.0,731611905.0,566372010.0,468025210.0,384923357.0,384923356.9999999,384923357.0,731611904.9999999,561628719.0000006,561628719.0000007
FAIR MARKETING COMPANY,16582.0,23222.0,19704.0,21409.0,21766.0,14495.0,18847.0,25409.0,5948.0,5948.000000000237,5948.000000000356,14494.999999999893,21765.999999998963,21765.999999998796
FAREAST TRADING EST.,7800.0,252525.0,310100.0,138170.0,163428.0,50310.0,43280.0,42530.0,37985.0,37985.00000000069,37985.00000000085,50309.99999999988,163427.9999999991,163427.99999999895
FCI OEN CONNECTOR LTD.,480252.0,790404.0,1053192.0,1115247.0,541677.0,925697.0,1079179.0,433833.0,200185.0,200184.99999999988,200184.9999999997,925696.9999999978,541676.9999999998,541676.9999999988
FEBIN MARINE FOODS,26540.0,45000.0,10900.0,3140.0,50779.0,28995.0,41730.0,23125.0,13904.0,13904.00000000033,13904.000000000464,28995.000000000044,50778.99999999897,50778.99999999886
FEROKE BOARDS LTD.,6145258.0,6305987.0,7561633.0,8017346.0,9363240.0,5049065.0,7498783.0,4497561.0,6436413.0,6436413.000000006,6436413.000000006,5049065.000000014,9363240.000000006,9363240.000000011
FILTROWIN INDUSTRIES,205962.0,194369.0,340235.0,204260.0,205826.0,305119.0,172521.0,203229.0,187345.0,187345.00000000023,187345.00000000032,305118.99999999924,205825.99999999927,205825.99999999904
FLOORATEX RUBBER & PLASTICS P. LTD.,4080.0,40132.0,18984.0,20120.0,20720.0,148970.0,43020.0,20659.0,20317.0,20317.000000000186,20317.000000000327,148969.99999999956,20719.99999999904,20719.999999998778
FORTUNE MARKETING,5448.0,13544.0,59853.0,52414.0,102871.0,156329.0,180327.0,102418.0,126937.0,126937.00000000023,126937.00000000032,156328.99999999974,102870.99999999908,102870.99999999888
GEMCO RUBBER P. LTD.,355743.0,571094.0,528983.0,587992.0,652680.0,566431.0,199627.0,183043.0,159516.0,159516.00000000064,159516.00000000114,566431.0000000005,652679.9999999994,652679.9999999995
GEMWOOD,336543.0,145667.0,128208.0,143265.0,600505.0,72035.0,573846.0,479503.0,108230.0,108230.00000000092,108230.00000000108,72035.00000000178,600504.9999999988,600504.9999999995
GIRNAR FOOD & BEVERAGES P. LTD.,189475.0,55700.0,56015.0,81738.0,80075.0,95764.0,151392.0,287772.0,122161.0,122160.99999999994,122160.99999999996,95763.99999999972,80074.99999999903,80074.99999999884
GLASS HOUSE,1040748.0,2572014.0,1983320.0,870886.0,1499238.0,1167896.0,1003420.0,734809.0,1080424.0,1080424.0000000033,1080424.0000000035,1167896.0000000014,1499238.000000001,1499238.0000000012
GLOBAL FURNIMART INDIA PVT.LT,74252.0,68443.0,117420.0,59627.0,10571.0,4840.0,35219.0,25145.0,9000.0,9000.000000000236,9000.000000000291,4839.999999999701,10570.999999999,10570.999999998789
GLOBAL TRADING COMPANY,25200.0,25200.0,907260.0,3206870.0,2241000.0,2698170.0,2490146.0,2182468.0,2295255.0,2295254.9999999963,2295254.999999997,2698169.999999998,2241000.000000001,2240999.999999999
GLOBAL TRADING CORPORATION,569543.0,90576.0,30310.0,17910.0,13170.0,9830.0,8670.0,18100.0,16428.0,16427.999999999967,16427.999999999945,9830.000000000273,13169.999999998938,13169.999999999009
GOOD WOOD IMPORTS,151781.0,105907.0,542910.0,558579.0,1090458.0,948412.0,795905.0,1249085.0,998059.0,998059.0000000002,998059.0000000006,948411.9999999998,1090457.9999999995,1090457.9999999998
GRACE HOME STYLE TRADE P LTD,123146.0,154345.0,213088.0,174503.0,160262.0,92946.0,48951.0,77858.0,31654.0,31654.000000000346,31654.00000000051,92945.99999999993,160261.99999999907,160261.99999999895
GRAND TOTAL                             ,2713664304.0,2635813697.0,2366701667.0,2511844065.0,2481273539.0,2521187733.0,2341850049.0,2212201513.0,2260327989.0,2260327988.9999995,2260327988.999999,2521187733.0000005,2481273539.000003,2481273539.000003
GREEN METHOD ENGINEERING (P) LTD.,19584.0,26112.0,26880.0,13440.0,83520.0,6720.0,6720.0,33600.0,20160.0,20160.00000000037,20160.00000000054,6720.000000000162,83519.99999999895,83519.99999999891
GREEN WUD IMPEX,111057.0,26353.0,138364.0,64572.0,188697.0,339217.0,175077.0,116841.0,143929.0,143929.00000000026,143929.0000000004,339216.99999999953,188696.9999999992,188696.99999999907
GREENLAND PARTICLE BOARDS P. LTD.,3930.0,153472.0,262179.0,191446.0,517140.0,271735.0,178364.0,778625.0,709741.0,709741.0000000003,709741.0000000006,271735.0000000003,517139.99999999936,517139.9999999993
GTN ENTERPRISES LTD.,1305017.0,3234648.0,2802712.0,2914032.0,3034831.0,1465091.0,2179959.0,1954083.0,1837978.0,1837978.0000000023,1837978.0000000035,1465091.0000000042,3034831.000000002,3034831.000000002
GUARDIAN CONTROLS LTD.,33690.0,56439.0,40241.0,41873.0,37677.0,59085.0,29148.0,8958.0,41814.0,41814.00000000024,41814.00000000037,59084.99999999987,37676.99999999903,37676.99999999882
GUJARAT TEA PROCESSORS & PACKERS LTD.,110367.0,56615.0,90296.0,50737.0,89453.0,55900.0,22760.0,43560.0,33760.0,33760.0000000003,33760.00000000043,55899.99999999999,89452.999999999,89452.99999999892
HABA MARKETING,125510.0,73510.0,88051.0,108893.0,107845.0,84372.0,34191.0,231741.0,111420.0,111420.00000000004,111420.00000000016,84371.99999999981,107844.99999999904,107844.99999999886
HIC ABF SPECIAL FOODS P. LTD.,360804.0,570558.0,44054.0,490382.0,589367.0,177560.0,97957.0,188079.0,103523.0,103523.00000000052,103523.0000000011,177560.0000000023,589366.9999999991,589366.9999999995
HITECH MACHINERIES AND EQUIPMENTS,109791.0,65620.0,75795.0,155659.0,430702.0,1002414.0,522290.0,787206.0,1290070.0,1290069.9999999993,1290069.9999999993,1002413.9999999988,430702.00000000006,430701.99999999924
HLL LIFECARE LTD.,605754.0,339353.0,559661.0,396086.0,350820.0,298582.0,135858.0,279657.0,147778.0,147778.00000000015,147778.00000000023,298581.9999999996,350819.9999999992,350819.99999999924
HORIZON INTERNATIONAL ,128700.0,10510024.0,3651591.0,381308.0,134948.0,1264767.0,503096.0,1714210.0,2023563.0,2023563.0000000084,2023563.000000008,1264766.9999999977,134948.00000000503,134947.99999999962
HYBRID COATINGS,274030.0,429824.0,462076.0,332212.0,221770.0,109987.0,92220.0,56080.0,38080.0,38080.00000000053,38080.00000000064,109986.99999999988,221769.9999999992,221769.99999999904
HYGIENE PACKS,1177517.0,1816727.0,3445350.0,3437550.0,4236463.0,1693199.0,1667679.0,2117197.0,2232632.0,2232632.000000003,2232632.0000000047,1693199.0000000051,4236463.000000002,4236463.000000004
HYKON INDIA (P) LTD.,5739.0,17557.0,161814.0,111768.0,27100.0,180671.0,292467.0,226458.0,63205.0,63205.000000000015,63204.99999999996,180670.9999999989,27099.999999999083,27099.999999998654
INDIAN FRUITS,98504.0,201271.0,397850.0,414894.0,315296.0,174756.0,47460.0,251996.0,268601.0,268601.0000000001,268601.00000000035,174755.99999999974,315295.99999999924,315295.999999999
INDIAN PRODUCTS P. LTD.,872732.0,1690543.0,2546542.0,2384270.0,3548116.0,4331261.0,4523186.0,3045623.0,2723570.0,2723570.000000002,2723570.000000002,4331260.999999997,3548116.000000002,3548116.000000002
