Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
EMIRATES CEMENTS INDIA P. LTD.,3566100.0,6758750.0,7716239.0,6388900.0,10108890.0,11231670.0,12414530.0,11289400.0,11753860.0,11957750.59,11953444.6625,12064685.727120005,12081615.71277335,10285225.9
ENGINEERED ELASTOMER SOLUTIONS COMPANY,16645.0,48583.0,55920.0,21878.0,35360.0,31880.0,161500.0,128430.0,25200.0,25212.04,25225.948800000016,25238.57468900004,25239.93619762007,35358.25
EVEREST INDUSTRIES LTD.,9938567.0,11431746.0,10338232.0,14899696.0,13197454.0,8988379.0,8397402.0,8508231.0,4158524.0,4184215.06,4192269.4777000034,4195015.069080999,4195458.387100762,13153329.89
EVEREST PLYWOOD,52603.0,12258.0,64570.0,33450.0,25977.0,69962.0,95348.0,111369.0,13500.0,13521.36,13544.642200000011,13561.253298000018,13576.00436606999,25987.94
EXCEL INTERNATIONAL,8432.0,39858.0,20349.0,51300.0,131045.0,32580.0,4345.0,19048.0,9688.0,9697.16,9698.99270000001,9705.361201000016,9703.590946700017,131028.6532
EXTRA WEAVE P. LTD.,375765.0,590874.0,218452.0,1044628.0,1175295.0,1734544.0,3054393.0,1987410.0,1883504.0,1882512.05,1882264.1334000009,1883413.47075,1882910.242669071,1176294.57
FABA AGENCIES,188154.0,876058.0,622377.0,763004.0,766115.0,967867.0,1339770.0,963608.0,760334.0,760828.66,760650.9405999989,761316.9122839994,761155.9108584605,766538.84
FACT LTD.,528438293.0,500495619.0,386397832.0,476809302.0,561628719.0,731611905.0,566372010.0,468025210.0,384923357.0,300726350.73,249530776.3223997,194589847.48352784,173173898.28697303,389825366.83
FAIR MARKETING COMPANY,16582.0,23222.0,19704.0,21409.0,21766.0,14495.0,18847.0,25409.0,5948.0,5960.95,5965.836400000001,5972.450250000011,5974.097192230003,21762.3629
FAREAST TRADING EST.,7800.0,252525.0,310100.0,138170.0,163428.0,50310.0,43280.0,42530.0,37985.0,38025.17,38048.21659999997,38055.42188199996,38059.546179699966,163371.4135
FCI OEN CONNECTOR LTD.,480252.0,790404.0,1053192.0,1115247.0,541677.0,925697.0,1079179.0,433833.0,200185.0,200813.12,200844.12120000005,201070.0069760002,201121.5162426704,541675.51
FEBIN MARINE FOODS,26540.0,45000.0,10900.0,3140.0,50779.0,28995.0,41730.0,23125.0,13904.0,13929.97,13941.631999999989,13948.830308999984,13963.693229330003,50736.275
FEROKE BOARDS LTD.,6145258.0,6305987.0,7561633.0,8017346.0,9363240.0,5049065.0,7498783.0,4497561.0,6436413.0,6450214.52,6448489.756599993,6441188.434364007,6437475.614543375,9251718.19
FILTROWIN INDUSTRIES,205962.0,194369.0,340235.0,204260.0,205826.0,305119.0,172521.0,203229.0,187345.0,187436.69,187524.33690000005,187573.9540429999,187634.4853220797,205695.78
FLOORATEX RUBBER & PLASTICS P. LTD.,4080.0,40132.0,18984.0,20120.0,20720.0,148970.0,43020.0,20659.0,20317.0,20318.68,20321.031799999982,20323.173878,20324.31944981002,20708.67
FORTUNE MARKETING,5448.0,13544.0,59853.0,52414.0,102871.0,156329.0,180327.0,102418.0,126937.0,126928.38,126907.26790000014,126928.89954099996,126933.62521509998,102874.254
GEMCO RUBBER P. LTD.,355743.0,571094.0,528983.0,587992.0,652680.0,566431.0,199627.0,183043.0,159516.0,159495.62,159560.08749999973,159579.22713100002,159613.2544127499,653074.45
GEMWOOD,336543.0,145667.0,128208.0,143265.0,600505.0,72035.0,573846.0,479503.0,108230.0,108276.13,108288.73280000004,108304.680108,108382.78684828983,599174.41
GIRNAR FOOD & BEVERAGES P. LTD.,189475.0,55700.0,56015.0,81738.0,80075.0,95764.0,151392.0,287772.0,122161.0,122023.18,121977.63299999989,121942.40092799973,121941.57794151983,80155.75
GLASS HOUSE,1040748.0,2572014.0,1983320.0,870886.0,1499238.0,1167896.0,1003420.0,734809.0,1080424.0,1080354.12,1079918.9868000008,1078187.7527740002,1077326.74638951,1504495.84
GLOBAL FURNIMART INDIA PVT.LT,74252.0,68443.0,117420.0,59627.0,10571.0,4840.0,35219.0,25145.0,9000.0,9001.02,9002.376700000008,9002.668495000005,9003.101972109995,10572.33
