Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
AGAPPE DIAGNOSTICS LTD.,1818.0,51163.0,68005.0,35385.0,43545.0,13920.0,81841.0,55329.0,66372.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AGFA MARKETING,1139607.0,1819185.0,1426161.0,1175522.0,1268819.0,725964.0,273582.0,17520.0,124920.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AIS TRADERS,353155.0,507074.0,572981.0,662212.0,367528.0,296285.0,207254.0,394440.0,787714.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AKAY SPICES P. LTD.,390472.0,581600.0,510547.0,356353.0,575764.0,407976.0,345002.0,451061.0,293076.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AL BADR SEAFOOD P. LTD.,219693.0,392531.0,496949.0,296242.0,313404.0,1030467.0,1989334.0,263689.0,21930.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ALPHA TRADER,588110.0,544754.0,913588.0,1002656.0,987776.0,1129530.0,1502418.0,1671016.0,1556926.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ALPHONSA CASHEW INDUSTRIES,2539625.0,1018541.0,280330.0,1930458.0,609573.0,2550365.0,4139521.0,3992731.0,3847159.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ALQ EXPORTERS,2359350.0,2039030.0,1037280.0,580950.0,3405870.0,4118800.0,897030.0,1940100.0,2012500.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AMAL PLYWOOD,261571.0,1110733.0,1726587.0,1654232.0,1522608.0,1043690.0,760551.0,311708.0,61112.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AMALGAM FROZEN FOODS P. LTD.,35340.0,44110.0,36025.0,16589.0,22829.0,221549.0,97449.0,28262.0,11550.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ANNZ COLORS IMPORTES N DISTRIBBTORS,36315.0,41607.0,45220.0,62589.0,95302.0,74401.0,85810.0,151637.0,62331.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
APOLLO TYRES LTD.,33443983.0,13450774.0,11118567.0,16626352.0,10494582.0,8055723.0,5403274.0,1900962.0,1988199.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
APPOOS AGENCIES,59548.0,202249.0,164350.0,182140.0,215551.0,325661.0,341275.0,223550.0,291930.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ARAFA TRADERS,460224.0,441612.0,214757.0,328920.0,210154.0,159540.0,102695.0,64940.0,85770.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
ARIHANT BATHWARE,45020.0,13870.0,28096.0,77872.0,142658.0,115987.0,104740.0,152161.0,171030.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
AROMATICS INGREDIENTS P. LTD.,607604.0,717699.0,919606.0,632728.0,653607.0,486884.0,487130.0,454988.0,461568.0,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522,310972.8848589522
