Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023
COCHIN TRADERS,699790.0,960980.0,526653.0,931950.0,1219275.0,620100.0,1240200.0,286200.0,620100.0
COCO FIBRE TEX,26114.0,64548.0,65733.0,61440.0,72120.0,89560.0,22290.0,44850.0,84985.0
COCO LATEX EXPORTS P. LTD.,667758.0,189432.0,8960.0,59763.0,135570.0,75186.0,34488.0,140820.0,25280.0
CORZA INTERNATIONAL,59810.0,188922.0,268614.0,299810.0,267597.0,323085.0,371565.0,438445.0,247825.0
CRAFTEMAN AUTOMATION P. LTD.,97056.0,97056.0,92296.0,421302.0,477284.0,932385.0,1873128.0,1475117.0,552194.0
CROSSING INTERNATIONAL DISTRIBUTION,39998.0,51732.0,44793.0,87148.0,77577.0,47354.0,30463.0,169651.0,76904.0
CROWN MARKETING,39430.0,47426.0,50629.0,46346.0,45140.0,44123.0,20400.0,32470.0,7960.0
CURATECH,540256.0,845500.0,969200.0,2144467.0,1541755.0,1329942.0,1754342.0,1845705.0,1746205.0
DELTA PLYWOODS  & BOARDS,718004.0,1217173.0,442873.0,189175.0,13040.0,75859.0,13928.0,83707.0,40887.0
DESAI AGENCIES,658985.0,990533.0,765561.0,1330006.0,3556438.0,1460569.0,741815.0,1735259.0,2544567.0
DHANYA IMPEX ,34840.0,21538.0,15620.0,19183.0,129976.0,50614.0,51470.0,60713.0,85814.0
DIAMOND PLYWOODS,392212.0,350856.0,690269.0,672551.0,407333.0,324678.0,380418.0,566971.0,613632.0
DOBERSUN PRODUCTS P. LTD.,118692.0,87536.0,135455.0,65617.0,179023.0,157630.0,309922.0,363331.0,91409.0
DUROCAP ROOFING INDIA P. LTD.,130600.0,1037203.0,1195780.0,1515586.0,1589095.0,781337.0,1201325.0,829077.0,266710.0
DYNAMIC TECHNO MEDICALS P. LTD.,42911.0,38085.0,63312.0,50164.0,118380.0,72948.0,53056.0,76183.0,154761.0
EC MALL,20003.0,10330.0,11500.0,14600.0,187260.0,23260.0,12125.0,7180.0,24180.0
ECO TRADING COMPANY,918388.0,479730.0,383000.0,801880.0,1045018.0,500545.0,811511.0,982729.0,2180900.0
ECOWOOD EXPORTS (P) LTD.,116591.0,170664.0,227076.0,221597.0,300042.0,170587.0,277930.0,193347.0,294441.0
EDGE INTERNATIONAL HK,19803.0,12036.0,66604.0,64023.0,18687.0,28439.0,20950.0,17557.0,9820.0
ELITE FOODS P. LTD.,49377.0,4410.0,19734.0,21007.0,4018.0,15229.0,28566.0,32324.0,29009.0
EMIRATES CEMENTS INDIA P. LTD.,3566100.0,6758750.0,7716239.0,6388900.0,10108890.0,11231670.0,12414530.0,11289400.0,11753860.0
ENGINEERED ELASTOMER SOLUTIONS COMPANY,16645.0,48583.0,55920.0,21878.0,35360.0,31880.0,161500.0,128430.0,25200.0
EVEREST INDUSTRIES LTD.,9938567.0,11431746.0,10338232.0,14899696.0,13197454.0,8988379.0,8397402.0,8508231.0,4158524.0
EVEREST PLYWOOD,52603.0,12258.0,64570.0,33450.0,25977.0,69962.0,95348.0,111369.0,13500.0
EXCEL INTERNATIONAL,8432.0,39858.0,20349.0,51300.0,131045.0,32580.0,4345.0,19048.0,9688.0
EXTRA WEAVE P. LTD.,375765.0,590874.0,218452.0,1044628.0,1175295.0,1734544.0,3054393.0,1987410.0,1883504.0
FABA AGENCIES,188154.0,876058.0,622377.0,763004.0,766115.0,967867.0,1339770.0,963608.0,760334.0
FACT LTD.,528438293.0,500495619.0,386397832.0,476809302.0,561628719.0,731611905.0,566372010.0,468025210.0,384923357.0
FAIR MARKETING COMPANY,16582.0,23222.0,19704.0,21409.0,21766.0,14495.0,18847.0,25409.0,5948.0
FAREAST TRADING EST.,7800.0,252525.0,310100.0,138170.0,163428.0,50310.0,43280.0,42530.0,37985.0
FCI OEN CONNECTOR LTD.,480252.0,790404.0,1053192.0,1115247.0,541677.0,925697.0,1079179.0,433833.0,200185.0
FEBIN MARINE FOODS,26540.0,45000.0,10900.0,3140.0,50779.0,28995.0,41730.0,23125.0,13904.0
FEROKE BOARDS LTD.,6145258.0,6305987.0,7561633.0,8017346.0,9363240.0,5049065.0,7498783.0,4497561.0,6436413.0
FILTROWIN INDUSTRIES,205962.0,194369.0,340235.0,204260.0,205826.0,305119.0,172521.0,203229.0,187345.0
FLOORATEX RUBBER & PLASTICS P. LTD.,4080.0,40132.0,18984.0,20120.0,20720.0,148970.0,43020.0,20659.0,20317.0
FORTUNE MARKETING,5448.0,13544.0,59853.0,52414.0,102871.0,156329.0,180327.0,102418.0,126937.0
GEMCO RUBBER P. LTD.,355743.0,571094.0,528983.0,587992.0,652680.0,566431.0,199627.0,183043.0,159516.0
GEMWOOD,336543.0,145667.0,128208.0,143265.0,600505.0,72035.0,573846.0,479503.0,108230.0
GIRNAR FOOD & BEVERAGES P. LTD.,189475.0,55700.0,56015.0,81738.0,80075.0,95764.0,151392.0,287772.0,122161.0
GLASS HOUSE,1040748.0,2572014.0,1983320.0,870886.0,1499238.0,1167896.0,1003420.0,734809.0,1080424.0
GLOBAL FURNIMART INDIA PVT.LT,74252.0,68443.0,117420.0,59627.0,10571.0,4840.0,35219.0,25145.0,9000.0
GLOBAL TRADING COMPANY,25200.0,25200.0,907260.0,3206870.0,2241000.0,2698170.0,2490146.0,2182468.0,2295255.0
GLOBAL TRADING CORPORATION,569543.0,90576.0,30310.0,17910.0,13170.0,9830.0,8670.0,18100.0,16428.0
GOOD WOOD IMPORTS,151781.0,105907.0,542910.0,558579.0,1090458.0,948412.0,795905.0,1249085.0,998059.0
GRACE HOME STYLE TRADE P LTD,123146.0,154345.0,213088.0,174503.0,160262.0,92946.0,48951.0,77858.0,31654.0
GRAND TOTAL                             ,2713664304.0,2635813697.0,2366701667.0,2511844065.0,2481273539.0,2521187733.0,2341850049.0,2212201513.0,2260327989.0
