Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
COCHIN EXPORTS  ,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",Kerala,682028,2469,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.99670085,76.32102778,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
COCHIN MINERALS AND RUTILE LTD.,"Poorna Nagar Park,, 4952+GWW, Periyar Nagar, Aluva, Kerala 683101, India",Kerala,683101,42222680,41453954,43104694,37195286,41561818,42376693,36377472,42237733,32178282,Aluva,Ernakulam,10.09568078,76.36233782,0,10514985.95,10536703.59,10541340.08,10542771.34,10539794.51
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",Kerala,682002,60000,57620,0,0,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,11.9780619,2.408582959,0.480252383,9.913895365
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",Kerala,682002,41466,38699,0,0,55744,0,0,125560,22502,Kochi,Ernakulam,9.957255233,76.25402237,0,22614.10421,22531.12426,22528.3485,22546.30012,22535.18961
COCHIN SURFACTANTS P.LTD.,"PLOT no 63, Edayar, Kerala 683502, India",Kerala,683502,271800,265772,924712,818520,0,0,0,0,0,Paravur,Ernakulam,10.08769256,76.30506273,0,0,0,0,0,0
COCHIN TRADERS COCHIN,"20/46B, Near I.O.C Petrol Pump, Palluruthy Veli, Aroor - Thoppumpady Rd, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,64699,8000,8000,9000,45690,0,9072,0,0,Kochi,Ernakulam,9.917652552,76.27326456,0,66.84468252,0,137.1818224,118.6392771,257.95134
COIMBATORE POTTERIES & REFRACTORIES,"Coimbatore, Tamil Nadu, India",Tamil Nadu,682024,77520,158245,99390,138945,144470,285928,262443,101606,137480,Ernakulam,Ernakulam,10.01888763,76.3025345,0,137945.0318,137806.3733,137979.5396,137351.3683,138151.2912
COONOOR TEA ESTATES CO. LTD.,"Coonoor, Tamil Nadu, India",Tamil Nadu,682002,514266,507220,880344,126280,0,0,0,0,0,Kochi,Ernakulam,9.957255233,76.25402237,0,0,0,0,0,1834.617471
COVEMA FILAMENTS LTD.,"14-B, CSEZ, Kakkanad, Kerala 682037, India",Kerala,682037,26463,16475,13328,18765,10894,30676,30586,0,0,Ernakulam,Ernakulam,9.997466838,76.34100994,0,8.929050757,13.50698919,6.712857827,5.798727072,0
CRAFT INDIA FOOTWEAR CALICUT,"Kozhikode, Kerala, India",Kerala,682024,3279,2852,0,6997,15458,0,0,6060,12439,Ernakulam,Ernakulam,10.01888763,76.3025345,0,12465.78856,12468.89949,12471.82798,12439.5138,12413.51147
CRESCENT INTERNATIONAL TYRE TREADS,"9/22 HA IDA, Nalam Mile, ALUVA, Kerala 683112, India",Kerala,683112,4043,16713,0,0,12206,38434,11902,56260,15000,Kunnathunad,Ernakulam,10.08974094,76.39621829,0,14858.83913,14973.69606,14969.1851,14971.84459,14991.39742
CROSSINGS INTERNATIONAL DISTRIBUTION,"682037, CSEZ, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,11290,25199,14925,36061,34054,24295,16140,9568,1143,Ernakulam,Ernakulam,9.997466838,76.34100994,0,1024.221937,1026.203115,1035.076782,1046.628929,1024.384941
DEEPA AGENCIES,"39/1384 Four Star Buildings Chittoor Road Valanjambalam, Ernakulam South, Kochi, Kerala 682016, India",Kerala,682016,1479,1425,3353,14860,3074,8750,4154,0,11957,Ernakulam,Ernakulam,9.965396735,76.28713605,0,12024.55544,12029.09382,12032.58373,12045.54444,12035.57551
DELSEA EXPORTS P.LTD.,"Nambiapuram, Palluruthy, Kochi, Kerala 682006, India",Kerala,682006,524217,405226,509137,512450,157724,0,258296,927125,1638148,Kochi,Ernakulam,9.917652552,76.27326456,0,1633153.847,1629739.65,1632589.327,1643103.385,1624244.871
DELTA PLYWOODS AND BOARDS,"Iringole Rd, PO, Perumbavoor, Kerala 683548, India",Kerala,683548,138000,168300,322200,89700,0,0,625160,3717350,745350,Perumbavoor,Ernakulam,10.1143171,76.49678308,0,225502.4754,377358.2985,387654.466,399904.4764,407005.1037
DYNAMIC TECHNO MEDICALS PVT. LTD.,"Kodikuthimala, Ashokapuram, Edathala, Aluva, Kerala 683101, India",Kerala,683101,253694,156720,181943,253151,270034,238205,297257,298590,398062,Aluva,Ernakulam,10.09568078,76.36233782,0,398681.822,398036.9443,399113.2089,399771.2158,400054.7355
EGATE INTERNATIONAL,"Lane 1, VRWA, near State Bank of India, Vyttila, Ernakulam, Kochi, Kerala 682019, India",Kerala,682019,305,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.96996996,76.31541059,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
ENGINEERED  ELASTOMER SOLUTIONS CO.,"SDF 16A, IVth Floor, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",Kerala,682037,19202,27920,45004,43823,20401,23206,56187,51285,16078,Ernakulam,Ernakulam,9.997466838,76.34100994,0,15989.01978,16039.55967,16078.4429,16052.15344,16046.62998
ESCON CHEMICAL COMPANY,"423 A South vellarapilly, po, Kochi, Thekkumbhagom, Kerala 683580, India",Kerala,683580,7150,6850,0,0,0,0,0,0,0,Aluva,Ernakulam,10.13932176,76.40794164,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
EVEREST WOOD INDUSTRIES,"Xix/318 Kanjirakkadu, Rayonpuram P.O, Perumbavoor Kochi- 683543, Kerala, Ernakulam, Perumbavoor, Kerala 683543, India",Kerala,683543,209148,1969098,2345382,891400,459250,182542,177286,514000,2318325,Kunnathunad,Ernakulam,10.12285941,76.48358803,0,2370671.158,2389577.447,2340073.97,2310002.066,2322720.783
EVERGREEN EXPORTS,"Willingdon Island, Kochi, Kerala 682003, India",Kerala,682003,380800,1116785,2735846,1901060,3155069,2089040,4144846,5595181,1209471,Kochi,Ernakulam,9.960447846,76.27093469,0,1743621.337,1987850.114,1898186.202,1970733.205,1953911.906
