Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
KERALA MINERALS & METALS LTD.,"Kerala, India",Kerala,688534,1596980,2807800,2747992,4154057,2578227,2621102,2615108,2328060,2061400,Cherthla,Alappuzha,9.871729377,76.30438504,0,2569527.865,2472220.153,2497079.918,2513732.041,2445840.994
KERALA RUBBER & RECLAIMS LTD.,"Kerala, India",Kerala,688524,28000,0,0,0,0,0,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,7.817164783,8.855354979,4.865923782,5.904511567,1.304587614
KERALA STATE CO-OP.RUBBER MKT.FED.LTD.,"Kerala, India",Kerala,688534,5664,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7.817164783,7.975534157,8.069322365,7.286311502,7.910320837
KERALA STATE COIR CORPN.LTD.,"F8WJ+464, CCNB Rd, Market Ward, Alappuzha, Kerala 688001, India",Kerala,688001,226044,922870,865017,795278,977976,1665167,1847586,1725224,1034388,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,1107075.849,1084935.995,1082865.577,1064791.632,1101140.881
KOTTAKKAL AYUR THERAPIES P.LTD.,"Kottakkal, Kerala, India",Kerala,688534,25000,0,0,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7.817164783,7.829671223,4.865923782,5.904511567,1.304587614
KUTHIATHODE COIR MATS&MATTING CO-OP.SOCIETY LTD.,"Kuthiathodu, Kodamthuruth, Kerala, India",Kerala,688534,18823,40511,61665,16000,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,7.164756432,6.618337457,5.022974254,6.489821057,6.327025466
KUTTANADU COIR&RUBBER PRODUCTS,"Kuttanad, Kuttanad Taluk, Kerala",Kerala,688534,272143,13258,66560,0,0,0,0,0,0,Cherthla,Alappuzha,9.871729377,76.30438504,0,1999.907116,290.6433193,350.3116999,299.1716384,321.1183524
LORDS EXPORTS,"CMC-3/79H, Madakkan's Building, North of Manorama Junction, Cherthala, Velorvattom, Alappuzha, Cherthala, Kerala 688524, India",Kerala,688524,55510,99735,48342,34531,89081,139792,204358,59524,141719,Cherthala,Alappuzha,9.689101163,76.3328507,0,142042.8548,142015.7816,142050.576,141636.1285,141986.0592
MAK PLYWOOD INDUSTRIES PVT LTD,"QV5R+P72, Thalapady JHC, Kinya, Kerala 575023, India",Kerala,688524,36300,0,0,0,0,97,0,0,0,Cherthala,Alappuzha,9.689101163,76.3328507,0,7.817164783,8.855354979,4.865923782,5.904511567,1.304587614
MAROTTIKKAL COIR WORKS,"Cherthala - Arookutty Rd, South, Poochakkal, Kerala 688526, India",Kerala,688526,186300,13250,0,0,21417,73059,207176,65824,139005,Cherthala,Alappuzha,9.806103367,76.35243925,0,139148.9185,139225.3432,138834.2936,139049.6526,139027.6896
MATS N MORE,"IV/446A, Valavanadu, Pollathtai P.O, Kalavoor, Alappuzha, Kerala 688522, India",Kerala,688522,250043,490751,1355063,1392430,1641619,2478498,2502489,2863753,2786338,Ambalapuzha,Alappuzha,9.572168203,76.32190507,0,2673003.242,2769106.947,2836484.245,2790992.519,2751617.41
META CLASSICS FIBRES,"Varanam ,Puthanangadi, Krishnakripa, Cherthala, Kerala 688524, India",Kerala,688524,294145,296432,374551,439873,471038,622109,939326,440334,504008,Cherthala,Alappuzha,9.689101163,76.3328507,0,514327.3916,510859.3328,503917.7717,503969.9257,511312.6888
N.C. JOHN & SONS LTD.,"G8RH+V3F, National Highway 47, Pathirappally, Poomkavu, Alappuzha, Kerala 688521, India",Kerala,688521,5192613,6579939,7004422,6250518,6322462,5981225,5508730,3632929,1206918,Ambalapuzha,Alappuzha,9.534986122,76.3284427,0,2664360.748,2647954.507,2637408.091,2634473.546,2629423.872
NATIONAL COIR MILLS,"near, Vazhicherry Rd, Vazhicherry Ward, Sea View Ward, Alappuzha, Kerala 688001, India",Kerala,688001,132695,107690,110303,129670,162079,97626,145191,106370,135162,Ambalapuzha,Alappuzha,9.496383919,76.33209265,0,134280.6104,134388.703,134394.2825,134391.6656,134341.6128
