iter	Passed	Remaining
162	636	3268
163	639	3258
164	640	3241
165	642	3229
166	645	3218
167	649	3217
168	653	3211
169	654	3195
170	656	3184
171	659	3173
172	661	3162
173	667	3168
174	670	3160
175	673	3152
176	675	3141
177	678	3131
178	682	3130
179	684	3119
180	687	3109
181	689	3099
182	691	3088
183	693	3077
184	698	3076
185	699	3061
186	701	3051
187	704	3040
188	706	3030
189	708	3019
190	712	3019
191	714	3008
192	717	2999
193	719	2988
194	721	2978
195	723	2968
196	728	2968
197	731	2962
198	733	2952
199	735	2942
200	737	2932
201	739	2923
202	744	2923
203	747	2917
204	749	2908
205	752	2898
206	754	2888
207	756	2881
208	761	2882
209	764	2874
210	766	2865
211	767	2852
212	769	2843
213	771	2834
214	776	2834
215	778	2826
216	780	2817
217	782	2808
218	785	2801
219	788	2794
220	792	2794
221	795	2786
222	797	2778
223	800	2774
224	804	2769
225	807	2765
226	812	2765
227	815	2760
228	817	2753
229	823	2756
230	827	2754
231	830	2749
232	833	2744
233	838	2744
234	841	2739
235	844	2733
236	846	2726
237	849	2719
238	854	2720
239	857	2716
240	860	2710
241	863	2704
242	867	2700
243	870	2696
244	873	2691
245	876	2685
246	878	2677
247	880	2669
248	885	2669
249	887	2663
250	890	2656
251	892	2648
252	894	2641
253	896	2633
254	901	2633
255	904	2627
256	906	2620
257	908	2613
258	911	2606
259	916	2607
260	919	2602
261	921	2595
262	923	2587
263	925	2580
264	927	2573
265	932	2573
266	935	2567
267	937	2560
268	939	2553
269	941	2546
270	945	2544
271	949	2541
272	951	2534
273	954	2528
274	956	2521
275	958	2515
276	964	2516
277	966	2510
278	968	2503
279	971	2496
280	973	2490
281	975	2484
282	980	2483
283	982	2477
284	985	2471
285	987	2466
286	990	2461
287	995	2460
288	997	2454
289	1000	2448
290	1002	2442
291	1005	2438
292	1009	2435
293	1012	2431
294	1017	2431
295	1022	2432
296	1027	2432
297	1030	2426
298	1032	2421
299	1035	2416
300	1038	2410
301	1042	2409
302	1045	2404
303	1048	2399
304	1050	2393
305	1052	2387
306	1057	2387
307	1105	2482
308	1115	2494
309	1128	2512
310	1132	2508
311	1135	2503
312	1139	2502
313	1143	2499
314	1149	2500
315	1157	2505
316	1160	2500
317	1163	2495
318	1166	2490
319	1172	2491
320	1175	2486
321	1178	2480
322	1180	2474
323	1186	2474
324	1189	2470
325	1191	2463
326	1194	2458
327	1196	2452
328	1202	2452
329	1205	2447
330	1207	2441
331	1210	2435
332	1213	2430
333	1218	2430
334	1222	2427
335	1225	2421
336	1229	2419
337	1234	2417
338	1238	2413
339	1241	2409
340	1244	2404
341	1249	2404
342	1254	2402
343	1257	2397
344	1260	2393
345	1265	2391
346	1268	2386
347	1270	2380
348	1273	2374
349	1275	2369
350	1279	2366
351	1282	2361
352	1285	2355
353	1287	2350
354	1290	2344
355	1294	2341
356	1297	2336
357	1299	2331
358	1302	2325
359	1304	2319
360	1308	2315
361	1311	2311
362	1314	2306
363	1316	2300
364	1319	2295
365	1321	2289
366	1326	2287
367	1329	2282
368	1331	2277
369	1334	2271
370	1336	2266
371	1340	2262
372	1343	2258
373	1346	2253
374	1348	2247
375	1350	2241
376	1353	2235
377	1358	2234
378	1361	2230
379	1363	2224
380	1366	2220
381	1369	2214
382	1374	2213
383	1376	2208
384	1379	2203
385	1381	2197
386	1383	2192
387	1389	2191
388	1392	2186
389	1394	2181
390	1396	2175
391	1400	2172
392	1404	2169
393	1407	2164
394	1409	2159
395	1412	2154
396	1416	2150
397	1421	2150
398	1425	2147
399	1429	2143
400	1434	2142
401	1437	2137
402	1441	2134
403	1444	2130
404	1448	2128
405	1452	2125
406	1456	2121
407	1460	2118
408	1464	2115
409	1467	2111
410	1469	2106
411	1472	2101
412	1475	2096
413	1479	2093
414	1481	2088
415	1484	2083
416	1486	2078
417	1489	2073
418	1493	2071
419	1496	2067
420	1499	2061
421	1501	2056
422	1504	2051
423	1507	2047
424	1510	2043
425	1513	2039
426	1516	2034
427	1518	2029
428	1520	2024
429	1525	2021
430	1527	2017
431	1530	2012
432	1532	2007
433	1535	2002
