Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude,Cluster,2024,2025,2026,2027,2028
VIKAS RUBBERS,"Manarcadu Thengana Road, Thalappady, Kottayam, Kerala 686019, India",Kerala,686019,960682,460386,808130,754738,1116756,1678297,1826594,2098881,1334068,Kottayam,Kottayam,9.592533289090907,76.58230555090908,0,1334068.0000000077,1334068.0000000007,1334068.000000005,1334068.0000000126,1334068.0000000007
ZALLKAR EXPORTS,"23/575, Kattakayam Rd, Pala, Kerala 686575, India",Kerala,686575,21505,21000,0,0,0,0,0,0,0,Meenachil,Kottayam,9.719589849206349,76.68607506666666,0,0.0,6.416826604267393e-11,0.0,0.0,0.0
DEVON FOODS LTD.,"Ettumanoor, Kerala 686631, India",Kerala,686631,0,47137,4624,0,0,0,0,26017,0,Kottayam,Kottayam,9.673597835897436,76.55975298397436,0,0.0,1.0880144399868138e-10,0.0,0.0,0.0
KARUR SREE RAMA,"Karur, Tamil Nadu, India",Tamil Nadu,686012,0,6928,9199,0,0,3858,2923,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,1.0540634636035783e-10,0.0,0.0,0.0
KATTILPARAMBIL TRADERS,"PC59+3FV, Vaikom - Vechoor Rd, Thalayazham, Kerala 686607, India",Kerala,686607,0,156,0,0,0,0,0,0,0,Vaikom,Kottayam,9.71175730952381,76.41841635714286,0,0.0,8.729417189101696e-11,0.0,0.0,0.0
KEDISON EXPELLERS,"Kanjirappalli Elikkulam Rd, Kanjirapally P.O, Kokkappally, Kanjirappally, Kerala 686507, India",Kerala,686507,0,162521,47246,0,0,0,0,18000,20250,Kanjirappally,Kottayam,9.558497567123288,76.79145172602739,0,20249.999999998712,20249.999999999567,20249.999999999567,20249.99999999809,20249.99999999956
KERALA HANDICRATS,"Kerala, India",Kerala,686012,0,5850,2680,4510,7000,0,9000,420,750,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,749.999999998847,749.9999999994924,749.9999999991792,749.9999999978021,749.9999999994687
MEENACHIL RUBBERWOOD (P) LTD.,"Meenachil, Kerala 686575, India",Kerala,686575,0,14732,14545,15000,0,0,0,0,0,Meenachil,Kottayam,9.719589849206349,76.68607506666666,0,0.0,9.109958856049754e-11,0.0,0.0,0.0
MULLASSERY CASHEW,"Mullassery, Kerala, India",Kerala,686012,0,2000,0,0,0,0,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,8.708944676527608e-11,0.0,0.0,0.0
PERUMACHERIL CASTING INDUSTRIES,"Market Landing Rd, Market, Kottayam, Kerala 686001, India",Kerala,686001,0,78400,0,0,0,0,1775,2850,16720,Kottayam,Kottayam,9.590939220930233,76.52573586744185,0,16719.99999999869,16719.99999999943,16719.999999999323,16719.999999997934,16719.999999999516
SAMSON CHEMICAL INDUSTRIES,"HGQM+9J9, near Lourde Church, Collectorate, Kottayam, Kerala 686002, India",Kerala,686002,0,96000,0,46000,72760,0,0,0,0,Kottayam,Kottayam,9.58903118,76.53411470333333,0,0.0,0.0,0.0,0.0,5.3597572735038814e-11
THARAKAN AND COMPANY,"Parambil Buildings, Olassa P. O, Olassa, Kerala 686014, India",Kerala,686014,0,125,2373,2856,9398,0,0,4977,8465,Kottayam,Kottayam,9.617703522727274,76.47939103181818,0,8464.999999998874,8464.99999999952,8464.999999999205,8464.999999997823,8464.999999999472
THOMSON RUBBERS,"IX/18 C, Kurisungal JN, Kanjirappally, Kottayam, Kanjirappally, Kerala 686507, India",Kerala,686507,0,784000,4589200,0,1214400,2006960,1080720,42200,160300,Kanjirappally,Kottayam,9.558497567123288,76.79145172602739,0,160300.00000001976,160300.00000001857,160300.00000001298,160300.00000000806,160300.0000000005
VADAKKEDATH INDUSTRIES P.LTD.,"XII/1429, Market Rd, Nadackal, Erattupetta, Kerala 686121, India",Kerala,686121,0,8000,0,0,0,0,445595,461850,204540,Meenachil,Kottayam,9.692869868421052,76.77764492631579,0,204539.99999999927,204539.9999999996,204539.99999999985,204539.9999999996,204539.99999999956
AGRO BIO TECH RESEARCH CENTRE LTD.,"Poovanthuruthu, Kerala Industrial Development Plot, Poovanthuruthu, Kerala 686012, India",Kerala,686012,0,0,16894,0,0,24600,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,1.1340187158653854e-10,0.0,0.0,0.0
ARACKATHARA RECLAIMATIONS,"Kurichy - Eara - Kavalam Rd, Kurichy, Chingavanam, Kerala 686532, India",Kerala,686532,0,0,23450,294297,1681999,1496583,2039930,2183923,3842112,Changanassery,Kottayam,9.502805928070176,76.51869062982456,0,3842112.000000009,3842112.000000001,3842112.00000001,3842112.000000024,3842112.000000003
K.P GROUP INDUSTRIES,"12, Kollad-Puthuppally Rd, Poovanthuruthu, Kerala 686012, India",Kerala,686012,0,0,40120,22000,14298,28726,0,0,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,1.10574798716354e-10,0.0,0.0,0.0
K.P.GROUP INDUSTRIES,"12, Kollad-Puthuppally Rd, Poovanthuruthu, Kerala 686012, India",Kerala,686012,0,0,22486,65047,103482,105245,160271,67325,38000,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,37999.99999999926,37999.99999999934,37999.99999999918,37999.99999999848,37999.99999999953
KELACHANDRA IRON & STEEL WORKS,"Chingavanam, Kerala 686531, India",Kerala,686531,0,0,3400,0,0,0,0,0,0,Changanacherry,Kottayam,9.5105107,76.52202866666666,0,0.0,9.648927779722012e-11,0.0,0.0,0.0
KERALA STATE ELECTRONIC DEV. CORPN. LTD.,"Kerala, India",Kerala,686012,0,0,320,0,0,0,0,110,0,Kottayam,Kottayam,9.54856711111111,76.52230786666667,0,0.0,8.823549583130226e-11,0.0,0.0,0.0
NEOTECH POLYMERS,"Mooledom, HG3H+89V, Kollad-Puthuppally Rd, Poovanthuruthu, Kerala 686004, India",Kerala,686004,0,0,10300,0,0,0,0,0,0,Kottayam,Kottayam,9.58203488,76.54092101,0,0.0,1.1511478554617047e-10,0.0,0.0,0.0
POLYKOT INDUSTRIES,"12/2, Kaveekunnu, Anthiyalam, Pala, Kerala 686574, India",Kerala,686574,0,0,3,0,0,0,0,0,0,Meenachil,Kottayam,9.722305693333334,76.66728714,0,0.0,8.731958941704848e-11,0.0,0.0,0.0
RIOTECH INDUSTRIES,"MIE Mini Industrial Estate, Valavoor, Vallichira, Kerala 686635, India",Kerala,686635,0,0,1296,0,0,0,0,18394,31432,Meenachil,Kottayam,9.750672510714285,76.62233675714285,0,31431.99999999889,31431.99999999956,31431.99999999928,31431.999999997923,31431.99999999949
SPECIFIED RUBBERS (P)LTD.,"Kanjikuzhi, Kottayam, Kerala 686002, India",Kerala,686002,0,0,120000,0,0,0,0,0,0,Kottayam,Kottayam,9.58903118,76.53411470333333,0,0.0,4.112333652649901e-10,0.0,0.0,0.0
